@relation 'german_credit-weka.filters.unsupervised.attribute.Remove-R2,7-13,15-16,18-20'

@attribute checking_status {<0,0<=X<200,>=200,'no checking'}
@attribute credit_history {'no credits/all paid','all paid','existing paid','delayed previously','critical/other existing credit'}
@attribute purpose {'new car','used car',furniture/equipment,radio/tv,'domestic appliance',repairs,education,vacation,retraining,business,other}
@attribute credit_amount numeric
@attribute savings_status {<100,100<=X<500,500<=X<1000,>=1000,'no known savings'}
@attribute other_payment_plans {bank,stores,none}
@attribute job {'unemp/unskilled non res','unskilled resident',skilled,'high qualif/self emp/mgmt'}
@attribute class {good,bad}

@data
<0,'critical/other existing credit',radio/tv,1169,'no known savings',none,skilled,good
0<=X<200,'existing paid',radio/tv,5951,<100,none,skilled,bad
'no checking','critical/other existing credit',education,2096,<100,none,'unskilled resident',good
<0,'existing paid',furniture/equipment,7882,<100,none,skilled,good
<0,'delayed previously','new car',4870,<100,none,skilled,bad
'no checking','existing paid',education,9055,'no known savings',none,'unskilled resident',good
'no checking','existing paid',furniture/equipment,2835,500<=X<1000,none,skilled,good
0<=X<200,'existing paid','used car',6948,<100,none,'high qualif/self emp/mgmt',good
'no checking','existing paid',radio/tv,3059,>=1000,none,'unskilled resident',good
0<=X<200,'critical/other existing credit','new car',5234,<100,none,'high qualif/self emp/mgmt',bad
0<=X<200,'existing paid','new car',1295,<100,none,skilled,bad
<0,'existing paid',business,4308,<100,none,skilled,bad
0<=X<200,'existing paid',radio/tv,1567,<100,none,skilled,good
<0,'critical/other existing credit','new car',1199,<100,none,'unskilled resident',bad
<0,'existing paid','new car',1403,<100,none,skilled,good
<0,'existing paid',radio/tv,1282,100<=X<500,none,'unskilled resident',bad
'no checking','critical/other existing credit',radio/tv,2424,'no known savings',none,skilled,good
<0,'no credits/all paid',business,8072,'no known savings',bank,skilled,good
0<=X<200,'existing paid','used car',12579,<100,none,'high qualif/self emp/mgmt',bad
'no checking','existing paid',radio/tv,3430,500<=X<1000,none,skilled,good
'no checking','critical/other existing credit','new car',2134,<100,none,skilled,good
<0,'existing paid',radio/tv,2647,500<=X<1000,none,skilled,good
<0,'critical/other existing credit','new car',2241,<100,none,'unskilled resident',good
0<=X<200,'critical/other existing credit','used car',1804,100<=X<500,none,skilled,good
'no checking','critical/other existing credit',furniture/equipment,2069,'no known savings',none,skilled,good
<0,'existing paid',furniture/equipment,1374,<100,bank,'unskilled resident',good
'no checking','no credits/all paid',radio/tv,426,<100,none,'unskilled resident',good
>=200,'all paid',radio/tv,409,>=1000,none,skilled,good
0<=X<200,'existing paid',radio/tv,2415,<100,none,skilled,good
<0,'delayed previously',business,6836,<100,none,skilled,bad
0<=X<200,'existing paid',business,1913,>=1000,bank,skilled,good
<0,'existing paid',furniture/equipment,4020,<100,stores,skilled,good
0<=X<200,'existing paid','new car',5866,100<=X<500,none,skilled,good
'no checking','critical/other existing credit',business,1264,'no known savings',none,'unskilled resident',good
>=200,'existing paid',furniture/equipment,1474,<100,bank,'high qualif/self emp/mgmt',good
0<=X<200,'critical/other existing credit',radio/tv,4746,<100,none,'unskilled resident',bad
'no checking','critical/other existing credit',education,6110,<100,bank,skilled,good
>=200,'existing paid',radio/tv,2100,<100,stores,skilled,bad
>=200,'existing paid','domestic appliance',1225,<100,none,skilled,good
0<=X<200,'existing paid',radio/tv,458,<100,none,skilled,good
'no checking','existing paid',radio/tv,2333,500<=X<1000,bank,'high qualif/self emp/mgmt',good
0<=X<200,'existing paid',radio/tv,1158,500<=X<1000,none,skilled,good
0<=X<200,'delayed previously',repairs,6204,<100,none,'unskilled resident',good
<0,'critical/other existing credit','used car',6187,100<=X<500,none,skilled,good
<0,'critical/other existing credit','used car',6143,<100,stores,'unskilled resident',bad
'no checking','critical/other existing credit','new car',1393,<100,none,'high qualif/self emp/mgmt',good
